ID,District_ID,Crime_Type,Score,Forecast_Date
84,5,Dacoity,15.46,2026-07-15
85,5,Theft,2.94,2026-07-15
86,5,Burglary,40.23,2026-07-15
87,5,Kidnapping & Abduction,16.76,2026-07-15
88,5,Assault,63.57,2026-07-15
89,5,Rioting,14.24,2026-07-15
90,5,Cheating & Fraud,20.2,2026-07-15
91,5,Criminal Breach of Trust,9.69,2026-07-15
92,5,Counterfeiting,26.59,2026-07-15
93,5,Arson,36.3,2026-07-15
94,5,Dowry Death,0.0,2026-07-15
95,5,Cybercrime,34.18,2026-07-15
96,5,Sexual Offences,18.21,2026-07-15
97,5,Narcotics (NDPS Act),11.43,2026-07-15
98,5,Arms Act Violations,3.32,2026-07-15
99,5,SC/ST Atrocities,39.02,2026-07-15
100,5,Motor Vehicle Theft,28.64,2026-07-15
101,6,Murder,22.5,2026-07-15
102,6,Attempt to Murder,42.92,2026-07-15
103,6,Robbery,39.18,2026-07-15
104,6,Dacoity,44.25,2026-07-15
105,6,Theft,55.84,2026-07-15
106,6,Burglary,34.49,2026-07-15
107,6,Kidnapping & Abduction,60.22,2026-07-15
108,6,Assault,52.65,2026-07-15
109,6,Rioting,42.98,2026-07-15
110,6,Cheating & Fraud,5.86,2026-07-15
111,6,Criminal Breach of Trust,32.88,2026-07-15
112,6,Counterfeiting,34.93,2026-07-15
113,6,Arson,34.47,2026-07-15
114,6,Dowry Death,29.58,2026-07-15
115,6,Cybercrime,40.92,2026-07-15
116,6,Sexual Offences,42.92,2026-07-15
117,6,Narcotics (NDPS Act),6.15,2026-07-15
118,6,Arms Act Violations,51.55,2026-07-15
119,6,SC/ST Atrocities,9.08,2026-07-15
120,6,Motor Vehicle Theft,25.14,2026-07-15
121,7,Murder,12.72,2026-07-15
122,7,Attempt to Murder,15.2,2026-07-15
123,7,Robbery,42.33,2026-07-15
124,7,Dacoity,27.85,2026-07-15
125,7,Theft,36.27,2026-07-15
126,7,Burglary,35.51,2026-07-15
127,7,Kidnapping & Abduction,0.0,2026-07-15
128,7,Assault,17.66,2026-07-15
129,7,Rioting,37.26,2026-07-15
130,7,Cheating & Fraud,35.88,2026-07-15
131,7,Criminal Breach of Trust,0.0,2026-07-15
132,7,Counterfeiting,41.48,2026-07-15
133,7,Arson,35.27,2026-07-15
134,7,Dowry Death,11.59,2026-07-15
135,7,Cybercrime,32.16,2026-07-15
136,7,Sexual Offences,22.59,2026-07-15
137,7,Narcotics (NDPS Act),33.41,2026-07-15
138,7,Arms Act Violations,0.0,2026-07-15
139,7,SC/ST Atrocities,20.74,2026-07-15
140,7,Motor Vehicle Theft,43.74,2026-07-15
141,8,Murder,34.04,2026-07-15
142,8,Attempt to Murder,37.83,2026-07-15
143,8,Robbery,22.45,2026-07-15
144,8,Dacoity,34.42,2026-07-15
145,8,Theft,23.51,2026-07-15
146,8,Burglary,12.08,2026-07-15
147,8,Kidnapping & Abduction,22.17,2026-07-15
148,8,Assault,47.76,2026-07-15
149,8,Rioting,42.94,2026-07-15
150,8,Cheating & Fraud,11.07,2026-07-15
151,8,Criminal Breach of Trust,19.69,2026-07-15
152,8,Counterfeiting,12.09,2026-07-15
153,8,Arson,28.65,2026-07-15
154,8,Dowry Death,40.91,2026-07-15
155,8,Cybercrime,56.43,2026-07-15
156,8,Sexual Offences,4.54,2026-07-15
157,8,Narcotics (NDPS Act),38.83,2026-07-15
158,8,Arms Act Violations,25.84,2026-07-15
159,8,SC/ST Atrocities,20.45,2026-07-15
160,8,Motor Vehicle Theft,11.92,2026-07-15
161,9,Murder,53.0,2026-07-15
162,9,Attempt to Murder,1.87,2026-07-15
163,9,Robbery,18.95,2026-07-15
164,9,Dacoity,31.81,2026-07-15
165,9,Theft,33.1,2026-07-15
166,9,Burglary,45.0,2026-07-15
167,9,Kidnapping & Abduction,13.09,2026-07-15
168,9,Assault,35.67,2026-07-15
169,9,Rioting,25.36,2026-07-15
170,9,Cheating & Fraud,26.9,2026-07-15
171,9,Criminal Breach of Trust,19.41,2026-07-15
172,9,Counterfeiting,28.73,2026-07-15
173,9,Arson,24.17,2026-07-15
174,9,Dowry Death,20.96,2026-07-15
175,9,Cybercrime,18.42,2026-07-15
176,9,Sexual Offences,31.89,2026-07-15
177,9,Narcotics (NDPS Act),6.34,2026-07-15
178,9,Arms Act Violations,23.42,2026-07-15
179,9,SC/ST Atrocities,14.79,2026-07-15
180,9,Motor Vehicle Theft,24.46,2026-07-15
181,10,Murder,22.47,2026-07-15
182,10,Attempt to Murder,37.13,2026-07-15
183,10,Robbery,34.01,2026-07-15
184,10,Dacoity,28.5,2026-07-15
185,10,Theft,26.72,2026-07-15
186,10,Burglary,21.26,2026-07-15
187,10,Kidnapping & Abduction,20.99,2026-07-15
188,10,Assault,0.0,2026-07-15
189,10,Rioting,35.13,2026-07-15
190,10,Cheating & Fraud,28.12,2026-07-15
191,10,Criminal Breach of Trust,42.13,2026-07-15
192,10,Counterfeiting,15.81,2026-07-15
193,10,Arson,43.03,2026-07-15
194,10,Dowry Death,21.25,2026-07-15
195,10,Cybercrime,15.53,2026-07-15
196,10,Sexual Offences,47.31,2026-07-15
197,10,Narcotics (NDPS Act),29.59,2026-07-15
198,10,Arms Act Violations,49.19,2026-07-15
199,10,SC/ST Atrocities,26.68,2026-07-15
200,10,Motor Vehicle Theft,36.24,2026-07-15
201,11,Murder,39.95,2026-07-15
202,11,Attempt to Murder,20.3,2026-07-15
203,11,Robbery,29.71,2026-07-15
204,11,Dacoity,26.84,2026-07-15
205,11,Theft,37.01,2026-07-15
206,11,Burglary,8.54,2026-07-15
207,11,Kidnapping & Abduction,33.54,2026-07-15
208,11,Assault,38.33,2026-07-15
209,11,Rioting,14.28,2026-07-15
210,11,Cheating & Fraud,11.3,2026-07-15
211,11,Criminal Breach of Trust,0.0,2026-07-15
212,11,Counterfeiting,55.7,2026-07-15
213,11,Arson,13.55,2026-07-15
214,11,Dowry Death,45.79,2026-07-15
215,11,Cybercrime,21.4,2026-07-15
216,11,Sexual Offences,40.99,2026-07-15
217,11,Narcotics (NDPS Act),33.24,2026-07-15
218,11,Arms Act Violations,56.05,2026-07-15
219,11,SC/ST Atrocities,46.21,2026-07-15
220,11,Motor Vehicle Theft,27.72,2026-07-15
221,12,Murder,29.76,2026-07-15
222,12,Attempt to Murder,35.3,2026-07-15
223,12,Robbery,65.34,2026-07-15
224,12,Dacoity,26.13,2026-07-15
225,12,Theft,5.73,2026-07-15
226,12,Burglary,28.79,2026-07-15
227,12,Kidnapping & Abduction,15.51,2026-07-15
228,12,Assault,28.29,2026-07-15
229,12,Rioting,42.38,2026-07-15
230,12,Cheating & Fraud,32.68,2026-07-15
231,12,Criminal Breach of Trust,16.22,2026-07-15
232,12,Counterfeiting,22.07,2026-07-15
233,12,Arson,9.12,2026-07-15
234,12,Dowry Death,44.25,2026-07-15
235,12,Cybercrime,37.43,2026-07-15
236,12,Sexual Offences,8.79,2026-07-15
237,12,Narcotics (NDPS Act),62.93,2026-07-15
238,12,Arms Act Violations,21.86,2026-07-15
239,12,SC/ST Atrocities,29.55,2026-07-15
240,12,Motor Vehicle Theft,20.05,2026-07-15
241,13,Murder,30.87,2026-07-15
242,13,Attempt to Murder,25.98,2026-07-15
243,13,Robbery,3.61,2026-07-15
244,13,Dacoity,42.18,2026-07-15
245,13,Theft,12.15,2026-07-15
246,13,Burglary,38.33,2026-07-15
247,13,Kidnapping & Abduction,21.1,2026-07-15
248,13,Assault,25.52,2026-07-15
249,13,Rioting,31.81,2026-07-15
250,13,Cheating & Fraud,26.63,2026-07-15
251,13,Criminal Breach of Trust,35.73,2026-07-15
252,13,Counterfeiting,13.95,2026-07-15
253,13,Arson,40.13,2026-07-15
254,13,Dowry Death,9.12,2026-07-15
255,13,Cybercrime,10.88,2026-07-15
256,13,Sexual Offences,33.26,2026-07-15
257,13,Narcotics (NDPS Act),40.32,2026-07-15
258,13,Arms Act Violations,28.83,2026-07-15
259,13,SC/ST Atrocities,46.96,2026-07-15
260,13,Motor Vehicle Theft,12.07,2026-07-15
261,14,Murder,6.7,2026-07-15
262,14,Attempt to Murder,36.75,2026-07-15
263,14,Robbery,26.01,2026-07-15
264,14,Dacoity,36.27,2026-07-15
265,14,Theft,8.76,2026-07-15
266,14,Burglary,17.53,2026-07-15
267,14,Kidnapping & Abduction,50.32,2026-07-15
268,14,Assault,21.16,2026-07-15
269,14,Rioting,45.57,2026-07-15
270,14,Cheating & Fraud,35.83,2026-07-15
271,14,Criminal Breach of Trust,19.89,2026-07-15
272,14,Counterfeiting,45.35,2026-07-15
273,14,Arson,29.07,2026-07-15
274,14,Dowry Death,24.38,2026-07-15
275,14,Cybercrime,22.98,2026-07-15
276,14,Sexual Offences,30.76,2026-07-15
277,14,Narcotics (NDPS Act),7.25,2026-07-15
278,14,Arms Act Violations,37.66,2026-07-15
279,14,SC/ST Atrocities,30.8,2026-07-15
280,14,Motor Vehicle Theft,15.61,2026-07-15
281,15,Murder,4.35,2026-07-15
282,15,Attempt to Murder,19.62,2026-07-15
283,15,Robbery,27.13,2026-07-15
284,15,Dacoity,25.72,2026-07-15
285,15,Theft,25.62,2026-07-15
286,15,Burglary,33.48,2026-07-15
287,15,Kidnapping & Abduction,6.12,2026-07-15
288,15,Assault,22.4,2026-07-15
289,15,Rioting,27.84,2026-07-15
290,15,Cheating & Fraud,30.29,2026-07-15
291,15,Criminal Breach of Trust,36.86,2026-07-15
292,15,Counterfeiting,20.32,2026-07-15
293,15,Arson,24.18,2026-07-15
294,15,Dowry Death,12.25,2026-07-15
295,15,Cybercrime,29.2,2026-07-15
296,15,Sexual Offences,10.32,2026-07-15
297,15,Narcotics (NDPS Act),31.98,2026-07-15
298,15,Arms Act Violations,41.09,2026-07-15
299,15,SC/ST Atrocities,30.4,2026-07-15
300,15,Motor Vehicle Theft,42.63,2026-07-15
301,16,Murder,15.87,2026-07-15
302,16,Attempt to Murder,4.69,2026-07-15
303,16,Robbery,20.25,2026-07-15
304,16,Dacoity,13.46,2026-07-15
305,16,Theft,15.27,2026-07-15
306,16,Burglary,0.0,2026-07-15
307,16,Kidnapping & Abduction,25.31,2026-07-15
308,16,Assault,23.0,2026-07-15
309,16,Rioting,35.32,2026-07-15
310,16,Cheating & Fraud,30.97,2026-07-15
311,16,Criminal Breach of Trust,20.04,2026-07-15
312,16,Counterfeiting,36.37,2026-07-15
313,16,Arson,35.97,2026-07-15
314,16,Dowry Death,15.37,2026-07-15
315,16,Cybercrime,25.62,2026-07-15
316,16,Sexual Offences,45.33,2026-07-15
317,16,Narcotics (NDPS Act),27.57,2026-07-15
318,16,Arms Act Violations,10.34,2026-07-15
319,16,SC/ST Atrocities,5.84,2026-07-15
320,16,Motor Vehicle Theft,0.6,2026-07-15
321,17,Murder,0.0,2026-07-15
322,17,Attempt to Murder,15.51,2026-07-15
323,17,Robbery,20.15,2026-07-15
324,17,Dacoity,8.12,2026-07-15
325,17,Theft,12.5,2026-07-15
326,17,Burglary,8.46,2026-07-15
327,17,Kidnapping & Abduction,0.0,2026-07-15
328,17,Assault,20.22,2026-07-15
329,17,Rioting,32.8,2026-07-15
330,17,Cheating & Fraud,15.12,2026-07-15
331,17,Criminal Breach of Trust,39.81,2026-07-15
332,17,Counterfeiting,25.07,2026-07-15
333,17,Arson,36.16,2026-07-15
334,17,Dowry Death,23.24,2026-07-15
335,17,Cybercrime,32.84,2026-07-15
336,17,Sexual Offences,1.6,2026-07-15
337,17,Narcotics (NDPS Act),35.41,2026-07-15
338,17,Arms Act Violations,22.87,2026-07-15
339,17,SC/ST Atrocities,39.24,2026-07-15
340,17,Motor Vehicle Theft,18.98,2026-07-15
341,18,Murder,50.03,2026-07-15
342,18,Attempt to Murder,31.91,2026-07-15
343,18,Robbery,10.32,2026-07-15
344,18,Dacoity,40.82,2026-07-15
345,18,Theft,8.03,2026-07-15
346,18,Burglary,7.19,2026-07-15
347,18,Kidnapping & Abduction,43.23,2026-07-15
348,18,Assault,28.93,2026-07-15
349,18,Rioting,24.99,2026-07-15
350,18,Cheating & Fraud,16.34,2026-07-15
351,18,Criminal Breach of Trust,36.38,2026-07-15
352,18,Counterfeiting,19.83,2026-07-15
353,18,Arson,26.93,2026-07-15
354,18,Dowry Death,6.99,2026-07-15
355,18,Cybercrime,23.04,2026-07-15
356,18,Sexual Offences,26.53,2026-07-15
357,18,Narcotics (NDPS Act),31.92,2026-07-15
358,18,Arms Act Violations,28.97,2026-07-15
359,18,SC/ST Atrocities,18.9,2026-07-15
360,18,Motor Vehicle Theft,28.17,2026-07-15
361,19,Murder,38.96,2026-07-15
362,19,Attempt to Murder,1.99,2026-07-15
363,19,Robbery,21.77,2026-07-15
364,19,Dacoity,27.38,2026-07-15
365,19,Theft,10.42,2026-07-15
366,19,Burglary,38.19,2026-07-15
367,19,Kidnapping & Abduction,33.24,2026-07-15
368,19,Assault,39.22,2026-07-15
369,19,Rioting,56.64,2026-07-15
370,19,Cheating & Fraud,29.2,2026-07-15
371,19,Criminal Breach of Trust,20.0,2026-07-15
372,19,Counterfeiting,38.33,2026-07-15
373,19,Arson,15.43,2026-07-15
374,19,Dowry Death,31.21,2026-07-15
375,19,Cybercrime,39.8,2026-07-15
376,19,Sexual Offences,36.73,2026-07-15
377,19,Narcotics (NDPS Act),45.36,2026-07-15
378,19,Arms Act Violations,20.15,2026-07-15
379,19,SC/ST Atrocities,34.88,2026-07-15
380,19,Motor Vehicle Theft,25.64,2026-07-15
381,20,Murder,27.42,2026-07-15
382,20,Attempt to Murder,27.42,2026-07-15
383,20,Robbery,31.7,2026-07-15
384,20,Dacoity,23.12,2026-07-15
385,20,Theft,2.31,2026-07-15
386,20,Burglary,25.93,2026-07-15
387,20,Kidnapping & Abduction,29.05,2026-07-15
388,20,Assault,22.99,2026-07-15
389,20,Rioting,30.15,2026-07-15
390,20,Cheating & Fraud,21.77,2026-07-15
391,20,Criminal Breach of Trust,19.55,2026-07-15
392,20,Counterfeiting,44.49,2026-07-15
393,20,Arson,57.47,2026-07-15
394,20,Dowry Death,36.81,2026-07-15
395,20,Cybercrime,15.0,2026-07-15
396,20,Sexual Offences,26.99,2026-07-15
397,20,Narcotics (NDPS Act),25.87,2026-07-15
398,20,Arms Act Violations,33.68,2026-07-15
399,20,SC/ST Atrocities,26.44,2026-07-15
400,20,Motor Vehicle Theft,32.84,2026-07-15
401,21,Murder,49.37,2026-07-15
402,21,Attempt to Murder,0.0,2026-07-15
403,21,Robbery,14.95,2026-07-15
404,21,Dacoity,36.93,2026-07-15
405,21,Theft,21.88,2026-07-15
406,21,Burglary,31.43,2026-07-15
407,21,Kidnapping & Abduction,19.7,2026-07-15
408,21,Assault,45.95,2026-07-15
409,21,Rioting,39.96,2026-07-15
410,21,Cheating & Fraud,27.02,2026-07-15
411,21,Criminal Breach of Trust,47.66,2026-07-15
412,21,Counterfeiting,27.19,2026-07-15
413,21,Arson,23.54,2026-07-15
414,21,Dowry Death,44.6,2026-07-15
415,21,Cybercrime,1.55,2026-07-15
416,21,Sexual Offences,25.06,2026-07-15
417,21,Narcotics (NDPS Act),27.84,2026-07-15
418,21,Arms Act Violations,19.2,2026-07-15
419,21,SC/ST Atrocities,11.36,2026-07-15
420,21,Motor Vehicle Theft,21.46,2026-07-15
421,22,Murder,0.0,2026-07-15
422,22,Attempt to Murder,45.7,2026-07-15
423,22,Robbery,46.45,2026-07-15
424,22,Dacoity,23.5,2026-07-15
425,22,Theft,17.73,2026-07-15
426,22,Burglary,0.24,2026-07-15
427,22,Kidnapping & Abduction,12.59,2026-07-15
428,22,Assault,44.64,2026-07-15
429,22,Rioting,22.52,2026-07-15
430,22,Cheating & Fraud,14.69,2026-07-15
431,22,Criminal Breach of Trust,23.09,2026-07-15
432,22,Counterfeiting,14.31,2026-07-15
433,22,Arson,0.0,2026-07-15
434,22,Dowry Death,17.8,2026-07-15
435,22,Cybercrime,6.72,2026-07-15
436,22,Sexual Offences,28.82,2026-07-15
437,22,Narcotics (NDPS Act),36.32,2026-07-15
438,22,Arms Act Violations,11.72,2026-07-15
439,22,SC/ST Atrocities,25.32,2026-07-15
440,22,Motor Vehicle Theft,22.16,2026-07-15
441,23,Murder,11.89,2026-07-15
442,23,Attempt to Murder,0.0,2026-07-15
443,23,Robbery,7.58,2026-07-15
444,23,Dacoity,11.31,2026-07-15
445,23,Theft,25.1,2026-07-15
446,23,Burglary,26.6,2026-07-15
447,23,Kidnapping & Abduction,41.57,2026-07-15
448,23,Assault,7.45,2026-07-15
449,23,Rioting,10.65,2026-07-15
450,23,Cheating & Fraud,13.28,2026-07-15
451,23,Criminal Breach of Trust,20.09,2026-07-15
452,23,Counterfeiting,26.24,2026-07-15
453,23,Arson,29.4,2026-07-15
454,23,Dowry Death,0.0,2026-07-15
455,23,Cybercrime,40.87,2026-07-15
456,23,Sexual Offences,29.99,2026-07-15
457,23,Narcotics (NDPS Act),36.19,2026-07-15
458,23,Arms Act Violations,0.0,2026-07-15
459,23,SC/ST Atrocities,35.43,2026-07-15
460,23,Motor Vehicle Theft,8.02,2026-07-15
461,24,Murder,14.54,2026-07-15
462,24,Attempt to Murder,42.81,2026-07-15
463,24,Robbery,31.17,2026-07-15
464,24,Dacoity,11.15,2026-07-15
465,24,Theft,33.24,2026-07-15
466,24,Burglary,26.71,2026-07-15
467,24,Kidnapping & Abduction,15.19,2026-07-15
468,24,Assault,28.44,2026-07-15
469,24,Rioting,15.63,2026-07-15
470,24,Cheating & Fraud,27.11,2026-07-15
471,24,Criminal Breach of Trust,26.91,2026-07-15
472,24,Counterfeiting,28.85,2026-07-15
473,24,Arson,50.17,2026-07-15
474,24,Dowry Death,35.48,2026-07-15
475,24,Cybercrime,36.3,2026-07-15
476,24,Sexual Offences,13.4,2026-07-15
477,24,Narcotics (NDPS Act),0.0,2026-07-15
478,24,Arms Act Violations,18.49,2026-07-15
479,24,SC/ST Atrocities,14.01,2026-07-15
480,24,Motor Vehicle Theft,30.3,2026-07-15
481,25,Murder,21.38,2026-07-15
482,25,Attempt to Murder,44.23,2026-07-15
483,25,Robbery,0.0,2026-07-15
484,25,Dacoity,20.15,2026-07-15
485,25,Theft,29.93,2026-07-15
486,25,Burglary,9.71,2026-07-15
487,25,Kidnapping & Abduction,37.92,2026-07-15
488,25,Assault,37.43,2026-07-15
489,25,Rioting,17.87,2026-07-15
490,25,Cheating & Fraud,64.07,2026-07-15
491,25,Criminal Breach of Trust,7.57,2026-07-15
492,25,Counterfeiting,4.15,2026-07-15
493,25,Arson,17.23,2026-07-15
494,25,Dowry Death,27.2,2026-07-15
495,25,Cybercrime,0.14,2026-07-15
496,25,Sexual Offences,33.63,2026-07-15
497,25,Narcotics (NDPS Act),61.25,2026-07-15
498,25,Arms Act Violations,3.45,2026-07-15
499,25,SC/ST Atrocities,27.29,2026-07-15
500,25,Motor Vehicle Theft,38.71,2026-07-15
501,26,Murder,35.24,2026-07-15
502,26,Attempt to Murder,56.13,2026-07-15
503,26,Robbery,16.71,2026-07-15
504,26,Dacoity,53.55,2026-07-15
505,26,Theft,22.85,2026-07-15
506,26,Burglary,16.1,2026-07-15
507,26,Kidnapping & Abduction,51.94,2026-07-15
508,26,Assault,18.24,2026-07-15
509,26,Rioting,39.82,2026-07-15
510,26,Cheating & Fraud,16.37,2026-07-15
511,26,Criminal Breach of Trust,4.64,2026-07-15
512,26,Counterfeiting,4.69,2026-07-15
513,26,Arson,34.34,2026-07-15
514,26,Dowry Death,7.8,2026-07-15
515,26,Cybercrime,20.6,2026-07-15
516,26,Sexual Offences,14.01,2026-07-15
517,26,Narcotics (NDPS Act),10.57,2026-07-15
518,26,Arms Act Violations,12.4,2026-07-15
519,26,SC/ST Atrocities,26.86,2026-07-15
520,26,Motor Vehicle Theft,0.0,2026-07-15
521,27,Murder,35.16,2026-07-15
522,27,Attempt to Murder,3.08,2026-07-15
523,27,Robbery,4.99,2026-07-15
524,27,Dacoity,0.84,2026-07-15
525,27,Theft,26.54,2026-07-15
526,27,Burglary,44.46,2026-07-15
527,27,Kidnapping & Abduction,20.47,2026-07-15
528,27,Assault,29.06,2026-07-15
529,27,Rioting,30.59,2026-07-15
530,27,Cheating & Fraud,33.62,2026-07-15
531,27,Criminal Breach of Trust,7.45,2026-07-15
532,27,Counterfeiting,46.4,2026-07-15
533,27,Arson,17.49,2026-07-15
534,27,Dowry Death,26.72,2026-07-15
535,27,Cybercrime,20.25,2026-07-15
536,27,Sexual Offences,15.82,2026-07-15
537,27,Narcotics (NDPS Act),36.6,2026-07-15
538,27,Arms Act Violations,32.03,2026-07-15
539,27,SC/ST Atrocities,0.0,2026-07-15
540,27,Motor Vehicle Theft,28.79,2026-07-15
541,28,Murder,54.73,2026-07-15
542,28,Attempt to Murder,26.06,2026-07-15
543,28,Robbery,15.61,2026-07-15
544,28,Dacoity,17.52,2026-07-15
545,28,Theft,14.84,2026-07-15
546,28,Burglary,6.03,2026-07-15
547,28,Kidnapping & Abduction,20.5,2026-07-15
548,28,Assault,20.43,2026-07-15
549,28,Rioting,32.27,2026-07-15
550,28,Cheating & Fraud,15.43,2026-07-15
551,28,Criminal Breach of Trust,53.43,2026-07-15
552,28,Counterfeiting,9.22,2026-07-15
553,28,Arson,25.48,2026-07-15
554,28,Dowry Death,12.06,2026-07-15
555,28,Cybercrime,15.19,2026-07-15
556,28,Sexual Offences,19.08,2026-07-15
557,28,Narcotics (NDPS Act),26.33,2026-07-15
558,28,Arms Act Violations,35.31,2026-07-15
559,28,SC/ST Atrocities,16.28,2026-07-15
560,28,Motor Vehicle Theft,0.82,2026-07-15
561,29,Murder,44.99,2026-07-15
562,29,Attempt to Murder,9.79,2026-07-15
563,29,Robbery,20.75,2026-07-15
564,29,Dacoity,25.27,2026-07-15
565,29,Theft,22.91,2026-07-15
566,29,Burglary,3.27,2026-07-15
567,29,Kidnapping & Abduction,37.37,2026-07-15
568,29,Assault,0.0,2026-07-15
569,29,Rioting,39.14,2026-07-15
570,29,Cheating & Fraud,41.79,2026-07-15
571,29,Criminal Breach of Trust,37.99,2026-07-15
572,29,Counterfeiting,19.88,2026-07-15
573,29,Arson,26.39,2026-07-15
574,29,Dowry Death,14.41,2026-07-15
575,29,Cybercrime,25.47,2026-07-15
576,29,Sexual Offences,33.88,2026-07-15
577,29,Narcotics (NDPS Act),8.02,2026-07-15
578,29,Arms Act Violations,22.43,2026-07-15
579,29,SC/ST Atrocities,17.29,2026-07-15
580,29,Motor Vehicle Theft,42.04,2026-07-15
581,30,Murder,9.89,2026-07-15
582,30,Attempt to Murder,33.39,2026-07-15
583,30,Robbery,23.21,2026-07-15
584,30,Dacoity,22.14,2026-07-15
585,30,Theft,33.84,2026-07-15
586,30,Burglary,18.24,2026-07-15
587,30,Kidnapping & Abduction,25.55,2026-07-15
588,30,Assault,40.67,2026-07-15
589,30,Rioting,12.35,2026-07-15
590,30,Cheating & Fraud,28.07,2026-07-15
591,30,Criminal Breach of Trust,37.22,2026-07-15
592,30,Counterfeiting,31.01,2026-07-15
593,30,Arson,43.22,2026-07-15
594,30,Dowry Death,22.2,2026-07-15
595,30,Cybercrime,34.07,2026-07-15
596,30,Sexual Offences,40.54,2026-07-15
597,30,Narcotics (NDPS Act),0.0,2026-07-15
598,30,Arms Act Violations,17.9,2026-07-15
599,30,SC/ST Atrocities,29.69,2026-07-15
600,30,Motor Vehicle Theft,37.81,2026-07-15
601,31,Murder,26.41,2026-07-15
602,31,Attempt to Murder,43.71,2026-07-15
603,31,Robbery,14.75,2026-07-15
604,31,Dacoity,4.24,2026-07-15
605,31,Theft,34.68,2026-07-15
606,31,Burglary,21.06,2026-07-15
607,31,Kidnapping & Abduction,10.19,2026-07-15
608,31,Assault,48.39,2026-07-15
609,31,Rioting,33.96,2026-07-15
610,31,Cheating & Fraud,32.53,2026-07-15
611,31,Criminal Breach of Trust,46.66,2026-07-15
612,31,Counterfeiting,16.95,2026-07-15
613,31,Arson,43.96,2026-07-15
