ID,FIR_ID,Accused_ID,Involvement_Type
164,101,2655,Primary
165,102,2596,Primary
166,103,2247,Primary
167,104,2892,Primary
168,105,1362,Primary
169,105,2364,Accomplice
170,106,393,Primary
171,106,1147,Accomplice
172,107,2305,Primary
173,108,2471,Primary
174,109,2820,Primary
175,110,1567,Primary
176,111,875,Primary
177,111,1628,Primary
178,111,832,Primary
179,112,1021,Primary
180,113,716,Primary
181,114,1226,Primary
182,114,1557,Primary
183,115,788,Primary
184,115,1992,Abettor
185,115,551,Abettor
186,116,2844,Primary
187,116,244,Accomplice
188,117,1436,Primary
189,117,2828,Primary
190,117,2044,Primary
191,118,443,Primary
192,118,2943,Accomplice
193,118,1708,Primary
194,119,1096,Primary
195,119,1645,Primary
196,120,2174,Primary
197,121,138,Primary
198,121,2825,Primary
199,122,234,Primary
200,123,2725,Primary
201,124,365,Primary
202,124,620,Primary
203,124,1490,Primary
204,125,2374,Primary
205,126,613,Primary
206,127,89,Primary
207,128,2227,Primary
208,128,2112,Primary
209,129,1135,Primary
210,130,874,Primary
211,131,2490,Primary
212,132,590,Primary
213,133,929,Primary
214,134,1350,Primary
215,134,1717,Primary
216,135,2838,Primary
217,136,2773,Primary
218,137,2521,Primary
219,137,2651,Accomplice
220,138,2403,Primary
221,139,2520,Primary
222,140,263,Primary
223,140,2331,Conspirator
224,141,757,Primary
225,142,1976,Primary
226,143,2484,Primary
227,143,1093,Conspirator
228,144,1306,Primary
229,145,2006,Primary
230,145,2804,Primary
231,146,1342,Primary
232,147,1321,Primary
233,148,753,Primary
234,149,2068,Primary
235,150,2074,Primary
236,150,2188,Primary
237,151,2592,Primary
238,151,2183,Accomplice
239,151,1456,Primary
240,152,2541,Primary
241,153,1596,Primary
242,153,1831,Primary
243,153,2215,Primary
244,154,597,Primary
245,155,1768,Primary
246,156,132,Primary
247,157,2140,Primary
248,157,2157,Primary
249,158,2669,Primary
250,159,359,Primary
251,160,688,Primary
252,160,2187,Primary
253,161,527,Primary
254,161,2006,Conspirator
255,162,916,Primary
256,162,1888,Accomplice
257,163,2239,Primary
258,163,2373,Primary
259,163,1025,Accomplice
260,164,1378,Primary
261,165,977,Primary
262,165,2845,Primary
263,166,1696,Primary
264,166,2320,Primary
265,167,1368,Primary
266,168,612,Primary
267,168,1967,Conspirator
268,169,1076,Primary
269,169,212,Primary
270,170,2143,Primary
271,170,970,Primary
272,171,698,Primary
273,171,2490,Primary
274,171,2277,Primary
275,172,1877,Primary
276,173,685,Primary
277,173,1873,Primary
278,173,569,Abettor
279,174,1912,Primary
280,175,2976,Primary
281,175,2630,Primary
282,175,2959,Primary
283,176,1747,Primary
284,177,2313,Primary
285,178,1730,Primary
286,179,352,Primary
287,180,2730,Primary
288,181,2844,Primary
289,182,159,Primary
290,183,2401,Primary
291,184,1714,Primary
292,184,1378,Primary
293,184,944,Conspirator
294,185,1310,Primary
295,185,2239,Abettor
296,186,1504,Primary
297,186,412,Abettor
298,186,485,Primary
299,187,1238,Primary
300,187,2884,Conspirator
301,188,1065,Primary
302,188,1570,Accomplice
303,189,1473,Primary
304,190,2893,Primary
305,191,1435,Primary
306,192,957,Primary
307,193,1221,Primary
308,194,512,Primary
309,194,1014,Primary
310,195,1350,Primary
311,196,2513,Primary
312,197,2470,Primary
313,197,789,Conspirator
314,197,1870,Primary
315,198,2957,Primary
316,198,829,Primary
317,198,2221,Primary
318,199,1882,Primary
319,200,1419,Primary
320,200,1215,Accomplice
321,201,1559,Primary
322,201,1801,Primary
323,202,1167,Primary
324,203,1105,Primary
325,203,1884,Conspirator
326,203,735,Primary
327,204,182,Primary
328,205,1090,Primary
329,205,816,Primary
330,205,2631,Abettor
331,206,2296,Primary
332,206,248,Primary
333,207,940,Primary
334,207,1380,Accomplice
335,208,904,Primary
336,209,1739,Primary
337,210,1903,Primary
338,211,2448,Primary
339,212,2930,Primary
340,212,2314,Primary
341,213,1743,Primary
342,214,2804,Primary
343,215,2412,Primary
344,216,2580,Primary
345,217,1052,Primary
346,218,791,Primary
347,218,1996,Primary
348,219,1343,Primary
349,219,707,Abettor
350,220,2888,Primary
351,220,130,Accomplice
352,221,907,Primary
353,222,581,Primary
354,222,1091,Abettor
355,222,1312,Primary
356,223,1015,Primary
357,224,1366,Primary
358,225,2137,Primary
359,226,1862,Primary
360,227,2185,Primary
361,228,2887,Primary
362,228,2231,Accomplice
363,228,1582,Primary
364,229,1869,Primary
365,229,432,Accomplice
366,230,596,Primary
367,231,760,Primary
368,232,2002,Primary
369,232,1940,Abettor
370,232,712,Primary
371,233,608,Primary
372,233,913,Primary
373,234,2601,Primary
374,234,27,Primary
375,235,480,Primary
376,235,2276,Abettor
377,236,1321,Primary
378,236,1931,Primary
379,237,2857,Primary
380,237,2474,Primary
381,237,2554,Primary
382,238,269,Primary
383,239,985,Primary
384,240,2446,Primary
385,240,587,Primary
386,241,10,Primary
387,241,1261,Accomplice
388,241,2180,Primary
389,242,2139,Primary
390,242,2350,Primary
391,242,2822,Primary
392,243,667,Primary
393,243,675,Primary
394,244,621,Primary
395,244,1655,Primary
396,245,1217,Primary
397,246,251,Primary
398,247,1607,Primary
399,247,98,Primary
400,248,1452,Primary
401,249,1943,Primary
402,250,2704,Primary
403,251,1333,Primary
404,252,1901,Primary
405,253,1478,Primary
406,254,381,Primary
407,255,1938,Primary
408,255,2942,Conspirator
409,256,979,Primary
410,257,1877,Primary
411,258,366,Primary
412,259,688,Primary
413,259,1270,Primary
414,259,1101,Accomplice
415,260,229,Primary
416,260,2339,Accomplice
417,261,2349,Primary
418,261,92,Primary
419,262,1042,Primary
420,263,466,Primary
421,264,2312,Primary
422,264,943,Primary
423,265,1552,Primary
424,265,2600,Primary
425,266,1735,Primary
426,266,2826,Accomplice
427,267,864,Primary
428,267,923,Conspirator
429,268,70,Primary
430,268,1661,Primary
431,268,107,Primary
432,269,2038,Primary
433,270,221,Primary
434,271,2118,Primary
435,272,1273,Primary
436,272,636,Accomplice
437,273,951,Primary
438,274,2942,Primary
439,274,976,Abettor
440,275,2067,Primary
441,276,1305,Primary
442,276,543,Primary
443,277,2567,Primary
444,278,2119,Primary
445,279,1595,Primary
446,279,1652,Conspirator
447,279,2341,Primary
448,280,1348,Primary
449,280,1263,Primary
450,281,2773,Primary
451,281,2453,Accomplice
452,282,2133,Primary
453,282,1402,Conspirator
454,283,2286,Primary
455,284,2601,Primary
456,284,1963,Primary
457,284,584,Primary
458,285,1243,Primary
459,285,2096,Accomplice
460,286,1600,Primary
461,286,1646,Primary
462,287,787,Primary
463,287,1807,Accomplice
464,287,656,Abettor
465,288,1160,Primary
466,288,2334,Primary
467,288,1906,Accomplice
468,289,1525,Primary
469,290,1858,Primary
470,291,2149,Primary
471,292,2661,Primary
472,292,2994,Abettor
473,293,1351,Primary
474,294,1427,Primary
475,294,1875,Primary
476,294,2400,Primary
477,295,621,Primary
478,295,794,Abettor
479,296,2120,Primary
480,297,2886,Primary
481,297,1022,Primary
482,298,1732,Primary
483,299,2858,Primary
484,299,851,Accomplice
485,300,2066,Primary
486,300,788,Conspirator
487,301,2992,Primary
488,302,2309,Primary
489,303,2882,Primary
490,304,2102,Primary
491,304,2267,Primary
492,304,1595,Accomplice
493,305,2474,Primary
494,306,1224,Primary
495,306,1453,Accomplice
496,307,694,Primary
497,307,2540,Primary
498,308,1858,Primary
499,308,2188,Primary
500,308,1644,Accomplice
501,309,277,Primary
502,309,1113,Primary
503,309,538,Primary
504,310,922,Primary
505,311,1761,Primary
506,311,2160,Primary
507,311,2746,Abettor
508,312,96,Primary
509,312,174,Abettor
510,313,173,Primary
511,313,2588,Abettor
512,313,606,Accomplice
513,314,1549,Primary
514,314,2379,Accomplice
515,315,471,Primary
516,316,1264,Primary
517,316,1328,Primary
518,317,2173,Primary
519,318,1471,Primary
520,319,1563,Primary
521,320,1359,Primary
522,320,920,Accomplice
523,321,2208,Primary
524,322,110,Primary
525,322,1252,Primary
526,322,2965,Primary
527,323,1476,Primary
528,323,693,Accomplice
529,323,1691,Primary
530,324,627,Primary
531,325,183,Primary
532,326,1591,Primary
533,327,13,Primary
534,328,1855,Primary
535,329,2217,Primary
536,329,2660,Primary
537,330,2872,Primary
538,331,988,Primary
539,331,237,Primary
540,332,199,Primary
541,332,818,Accomplice
542,333,2626,Primary
543,333,1348,Primary
544,334,2154,Primary
545,335,1938,Primary
546,335,572,Primary
547,336,958,Primary
548,336,199,Primary
549,337,1001,Primary
550,338,408,Primary
551,339,536,Primary
552,340,442,Primary
553,341,751,Primary
554,342,2965,Primary
555,342,789,Accomplice
556,343,866,Primary
557,344,1866,Primary
558,345,1096,Primary
559,345,1374,Accomplice
560,346,928,Primary
561,346,1531,Primary
562,347,2404,Primary
563,348,1861,Primary
564,349,2882,Primary
565,349,1723,Primary
566,349,971,Primary
567,350,1042,Primary
568,350,471,Abettor
569,351,1708,Primary
570,352,1747,Primary
571,353,1621,Primary
572,354,1044,Primary
573,355,2174,Primary
574,355,2431,Primary
575,355,1295,Accomplice
576,356,7,Primary
577,357,2802,Primary
578,358,1167,Primary
579,358,2940,Accomplice
580,358,445,Primary
581,359,1242,Primary
582,359,923,Accomplice
583,359,356,Accomplice
584,360,1596,Primary
585,360,2298,Primary
586,361,2680,Primary
587,362,1357,Primary
588,363,384,Primary
589,364,2809,Primary
590,365,1297,Primary
591,365,1989,Primary
592,366,1174,Primary
593,367,1619,Primary
594,367,505,Abettor
595,368,2505,Primary
596,369,2220,Primary
597,369,2687,Accomplice
598,370,509,Primary
599,371,371,Primary
600,371,695,Primary
601,371,2957,Accomplice
602,372,851,Primary
603,373,1988,Primary
604,374,1048,Primary
605,375,1218,Primary
606,375,1783,Primary
607,375,972,Accomplice
608,376,34,Primary
609,376,197,Primary
610,377,942,Primary
611,378,2877,Primary
612,379,465,Primary
613,380,2264,Primary
614,380,204,Primary
615,381,2982,Primary
616,382,179,Primary
617,383,702,Primary
618,383,2444,Abettor
619,384,2414,Primary
620,384,1447,Primary
621,385,1423,Primary
622,385,1629,Accomplice
623,386,1739,Primary
624,386,738,Accomplice
625,387,2453,Primary
626,388,1030,Primary
627,389,773,Primary
628,389,797,Primary
629,390,2083,Primary
630,390,2345,Conspirator
631,390,20,Primary
632,391,2362,Primary
633,392,2662,Primary
634,392,1668,Accomplice
635,392,2664,Primary
636,393,783,Primary
637,393,855,Primary
638,394,2233,Primary
639,394,1638,Accomplice
640,394,820,Accomplice
641,395,2703,Primary
642,395,927,Primary
643,395,29,Primary
644,396,1061,Primary
645,396,2945,Abettor
646,397,2955,Primary
647,397,1414,Primary
648,397,1079,Conspirator
649,398,1990,Primary
650,399,895,Primary
651,399,212,Primary
652,400,15,Primary
653,401,994,Primary
654,402,1776,Primary
655,403,1181,Primary
656,404,1612,Primary
657,404,759,Primary
658,404,51,Accomplice
659,405,2424,Primary
660,406,1006,Primary
661,407,2121,Primary
662,407,733,Accomplice
663,408,2953,Primary
664,408,2903,Primary
665,408,89,Primary
666,409,824,Primary
667,409,705,Accomplice
668,409,1123,Accomplice
669,410,1435,Primary
670,411,617,Primary
671,412,991,Primary
672,413,2209,Primary
673,413,383,Accomplice
674,414,1449,Primary
675,414,129,Primary
676,415,2938,Primary
677,415,1019,Accomplice
678,415,2172,Primary
679,416,84,Primary
680,416,2753,Primary
681,417,2957,Primary
682,417,2357,Primary
683,418,2539,Primary
684,419,559,Primary
685,419,1881,Abettor
686,420,2017,Primary
687,421,2081,Primary
688,421,1485,Abettor
689,422,1183,Primary
690,423,1741,Primary
691,424,1249,Primary
692,424,1786,Accomplice
693,424,755,Abettor
694,425,453,Primary
695,425,976,Primary
696,426,596,Primary
697,426,1376,Primary
698,426,2401,Primary
699,427,2302,Primary
700,427,2527,Accomplice
701,428,553,Primary
702,429,1008,Primary
703,430,2669,Primary
704,431,1477,Primary
705,432,980,Primary
706,433,1283,Primary
707,433,2478,Accomplice
708,434,2445,Primary
709,435,1648,Primary
710,436,298,Primary
711,437,1874,Primary
712,437,929,Primary
713,437,2320,Accomplice
714,438,700,Primary
715,439,2105,Primary
716,440,495,Primary
717,441,1880,Primary
718,441,2928,Accomplice
719,442,281,Primary
720,443,2928,Primary
721,443,379,Conspirator
722,444,1457,Primary
723,444,1492,Conspirator
724,445,2337,Primary
725,446,2773,Primary
726,446,1759,Primary
727,446,1111,Primary
728,447,1088,Primary
729,448,2677,Primary
730,449,2247,Primary
731,449,132,Primary
732,450,191,Primary
733,450,1610,Accomplice
734,451,2203,Primary
735,452,2839,Primary
736,452,2442,Abettor
737,453,1073,Primary
738,453,2616,Accomplice
739,454,1981,Primary
740,454,2441,Primary
741,454,684,Accomplice
742,455,1926,Primary
743,456,963,Primary
744,456,1789,Primary
745,456,1831,Primary
746,457,2241,Primary
747,457,208,Primary
748,458,2642,Primary
749,458,807,Primary
750,459,322,Primary
751,460,1623,Primary
752,461,429,Primary
753,462,782,Primary
754,462,754,Abettor
755,462,112,Accomplice
756,463,2593,Primary
757,463,1311,Accomplice
758,464,2354,Primary
759,464,625,Abettor
760,465,359,Primary
761,466,845,Primary
762,466,2328,Accomplice
763,466,2247,Abettor
764,467,112,Primary
765,467,1488,Accomplice
766,468,1524,Primary
767,469,1215,Primary
768,469,460,Accomplice
769,470,2373,Primary
770,471,955,Primary
771,472,291,Primary
772,472,2434,Accomplice
773,473,1348,Primary
774,473,2288,Primary
775,474,2293,Primary
776,474,1688,Primary
777,475,36,Primary
778,476,823,Primary
779,477,1231,Primary
780,478,2894,Primary
781,478,451,Primary
782,479,358,Primary
783,479,182,Abettor
784,479,39,Accomplice
785,480,1487,Primary
786,480,200,Abettor
787,480,2704,Accomplice
788,481,2693,Primary
789,482,2941,Primary
790,483,2232,Primary
791,483,2113,Primary
792,484,2169,Primary
793,485,1722,Primary
794,486,1537,Primary
795,487,2015,Primary
796,488,2889,Primary
797,489,764,Primary
798,490,2028,Primary
799,491,1638,Primary
800,492,966,Primary
801,493,819,Primary
802,493,798,Abettor
803,494,1905,Primary
804,494,580,Accomplice
805,494,1141,Primary
806,495,2017,Primary
807,496,1793,Primary
808,496,2812,Primary
809,497,2190,Primary
810,497,2113,Primary
811,498,1518,Primary
812,499,269,Primary
813,500,2245,Primary
814,500,2991,Accomplice
815,501,1363,Primary
816,501,1698,Primary
817,501,2132,Accomplice
818,502,1671,Primary
819,502,2081,Primary
820,503,2287,Primary
821,503,1199,Accomplice
822,504,523,Primary
823,505,1363,Primary
824,506,495,Primary
825,506,1885,Accomplice
826,507,1728,Primary
827,508,1584,Primary
828,508,124,Accomplice
829,509,851,Primary
830,510,1087,Primary
831,511,1268,Primary
832,512,1648,Primary
833,513,2160,Primary
834,513,624,Primary
835,514,523,Primary
836,514,200,Abettor
837,515,2409,Primary
838,516,2207,Primary
839,517,649,Primary
840,518,1915,Primary
841,519,2805,Primary
842,520,88,Primary
843,521,1291,Primary
844,522,1733,Primary
845,523,2042,Primary
846,524,778,Primary
847,524,2460,Primary
848,525,1988,Primary
849,525,2542,Accomplice
850,525,2521,Primary
851,526,2341,Primary
852,527,148,Primary
853,528,2047,Primary
854,529,256,Primary
855,529,765,Accomplice
856,530,2689,Primary
857,531,1467,Primary
858,531,1900,Primary
859,532,1389,Primary
860,533,1625,Primary
861,534,2679,Primary
862,535,138,Primary
863,535,1314,Accomplice
864,536,2407,Primary
865,536,435,Accomplice
866,537,2348,Primary
867,537,821,Abettor
868,538,1399,Primary
869,538,439,Primary
870,539,2583,Primary
871,540,661,Primary
872,541,2863,Primary
873,541,2207,Primary
874,542,782,Primary
875,543,2579,Primary
876,544,2789,Primary
877,545,1323,Primary
878,545,2390,Abettor
879,546,2818,Primary
880,547,1730,Primary
881,547,1051,Primary
882,548,1396,Primary
883,549,2243,Primary
884,549,990,Primary
885,549,2654,Primary
886,550,1535,Primary
887,551,2645,Primary
888,552,2947,Primary
889,552,1961,Primary
890,553,1582,Primary
891,554,1460,Primary
892,555,422,Primary
893,556,1155,Primary
894,557,2100,Primary
895,557,90,Primary
896,558,189,Primary
897,558,2990,Abettor
898,559,132,Primary
899,560,2784,Primary
900,561,195,Primary
901,562,1603,Primary
902,563,1925,Primary
903,563,473,Primary
904,564,2720,Primary
905,565,395,Primary
906,565,2826,Primary
907,566,656,Primary
908,567,2995,Primary
909,567,1220,Primary
910,568,2642,Primary
911,568,2220,Accomplice
912,569,1649,Primary
913,569,2891,Accomplice
914,570,1558,Primary
915,570,314,Primary
916,571,1399,Primary
917,572,481,Primary
918,572,1259,Abettor
919,573,2786,Primary
920,573,2065,Accomplice
921,573,2602,Primary
922,574,2887,Primary
923,575,2758,Primary
924,575,2274,Primary
925,575,1595,Primary
926,576,2827,Primary
927,577,186,Primary
928,578,2884,Primary
929,578,519,Accomplice
930,579,2513,Primary
931,580,487,Primary
932,580,1815,Primary
933,581,1191,Primary
934,581,485,Primary
935,581,733,Conspirator
936,582,753,Primary
937,582,2926,Accomplice
938,582,2644,Primary
939,583,2695,Primary
940,583,767,Conspirator
941,584,917,Primary
942,585,1869,Primary
943,585,1399,Primary
944,586,2471,Primary
945,586,2909,Primary
946,586,700,Accomplice
947,587,811,Primary
948,588,2416,Primary
949,589,2513,Primary
950,590,1726,Primary
951,590,1849,Accomplice
952,591,1318,Primary
953,591,1196,Accomplice
954,592,1901,Primary
955,593,1330,Primary
956,593,1401,Primary
957,593,2857,Primary
958,594,86,Primary
959,594,1193,Accomplice
960,594,2952,Primary
961,595,115,Primary
962,595,1873,Primary
963,596,1361,Primary
964,597,1605,Primary
965,598,1225,Primary
966,598,493,Abettor
967,599,443,Primary
968,599,784,Primary
969,600,1179,Primary
970,601,1042,Primary
971,602,1278,Primary
972,603,1559,Primary
973,603,2276,Accomplice
974,604,1159,Primary
975,604,816,Accomplice
976,605,289,Primary
977,606,2457,Primary
978,607,8,Primary
979,608,1228,Primary
980,609,2671,Primary
981,610,2216,Primary
982,610,2619,Primary
983,611,739,Primary
984,611,1549,Accomplice
985,612,498,Primary
986,613,2361,Primary
987,614,105,Primary
988,615,2172,Primary
989,616,2726,Primary
990,616,1388,Primary
991,616,9,Accomplice
992,617,1078,Primary
993,617,1854,Primary
994,617,1339,Conspirator
995,618,2803,Primary
996,619,561,Primary
997,620,2625,Primary
998,620,1730,Primary
999,620,276,Primary
1000,621,975,Primary
1001,622,2328,Primary
1002,623,1209,Primary
1003,624,2295,Primary
1004,624,2742,Accomplice
1005,625,29,Primary
1006,626,1293,Primary
1007,626,649,Accomplice
1008,627,302,Primary
1009,627,2001,Abettor
1010,628,840,Primary
1011,628,741,Primary
1012,629,444,Primary
1013,629,2024,Accomplice
1014,630,2748,Primary
1015,630,1183,Accomplice
1016,631,1272,Primary
1017,631,2993,Primary
1018,631,1334,Accomplice
1019,632,1239,Primary
1020,633,1106,Primary
1021,633,2027,Primary
1022,634,2659,Primary
1023,635,119,Primary
1024,635,2359,Accomplice
1025,635,2731,Accomplice
1026,636,977,Primary
1027,636,2619,Primary
1028,636,1632,Accomplice
1029,637,2114,Primary
1030,638,741,Primary
1031,639,481,Primary
1032,640,1313,Primary
1033,641,1512,Primary
1034,641,2488,Accomplice
1035,641,1483,Abettor
1036,642,2482,Primary
1037,643,682,Primary
1038,643,1966,Primary
1039,644,1232,Primary
1040,645,1494,Primary
1041,646,829,Primary
1042,646,243,Primary
1043,647,1806,Primary
1044,647,1077,Primary
1045,648,314,Primary
1046,649,1885,Primary
1047,650,50,Primary
1048,650,763,Accomplice
1049,651,1794,Primary
1050,651,448,Accomplice
1051,652,214,Primary
1052,652,1202,Primary
1053,653,783,Primary
1054,653,524,Primary
1055,653,65,Abettor
1056,654,2080,Primary
1057,654,2871,Primary
1058,655,1632,Primary
1059,656,1142,Primary
1060,657,43,Primary
1061,658,981,Primary
1062,659,2731,Primary
1063,660,1300,Primary
1064,661,833,Primary
1065,661,2212,Primary
1066,662,96,Primary
1067,663,322,Primary
1068,664,2575,Primary
1069,664,29,Accomplice
1070,665,2772,Primary
1071,665,1766,Primary
1072,666,2037,Primary
1073,667,612,Primary
1074,667,482,Accomplice
1075,667,22,Primary
1076,668,124,Primary
1077,668,2392,Accomplice
1078,668,2174,Conspirator
1079,669,670,Primary
1080,669,1754,Primary
1081,669,1284,Primary
1082,670,594,Primary
1083,670,2232,Primary
1084,671,1511,Primary
1085,672,1559,Primary
1086,672,291,Primary
1087,672,1305,Primary
1088,673,902,Primary
1089,674,1212,Primary
1090,675,2156,Primary
1091,675,2626,Primary
1092,676,2631,Primary
1093,676,1895,Primary
1094,677,2970,Primary
1095,678,138,Primary
1096,679,687,Primary
1097,680,2708,Primary
1098,681,1931,Primary
1099,682,2980,Primary
1100,682,1614,Primary
1101,683,1298,Primary
1102,684,2994,Primary
1103,685,1956,Primary
1104,685,2485,Accomplice
1105,685,1911,Abettor
1106,686,1962,Primary
1107,687,1478,Primary
1108,687,1677,Conspirator
1109,688,2566,Primary
1110,689,357,Primary
1111,690,2066,Primary
1112,691,259,Primary
1113,692,1798,Primary
1114,692,2815,Conspirator
1115,693,384,Primary
1116,694,1414,Primary
1117,695,1880,Primary
1118,696,365,Primary
1119,696,2834,Abettor
1120,696,2874,Accomplice
1121,697,964,Primary
1122,698,1070,Primary
1123,698,2147,Conspirator
1124,698,1862,Accomplice
1125,699,778,Primary
1126,700,2061,Primary
1127,700,2913,Primary
1128,701,311,Primary
1129,702,1041,Primary
1130,703,1056,Primary
1131,704,161,Primary
1132,704,1849,Primary
1133,705,1610,Primary
1134,706,2293,Primary
1135,706,2670,Conspirator
1136,706,2400,Primary
1137,707,393,Primary
1138,708,1925,Primary
1139,709,1125,Primary
1140,709,2723,Accomplice
1141,709,2154,Accomplice
1142,710,2572,Primary
1143,710,2864,Accomplice
1144,711,1552,Primary
1145,711,269,Accomplice
1146,711,986,Accomplice
1147,712,1389,Primary
1148,712,2953,Primary
1149,713,2418,Primary
1150,714,1936,Primary
1151,715,1141,Primary
1152,716,278,Primary
1153,717,1117,Primary
1154,717,650,Conspirator
1155,718,42,Primary
1156,719,2416,Primary
1157,719,1725,Primary
1158,719,2254,Abettor
1159,720,2958,Primary
1160,720,2673,Primary
1161,721,318,Primary
1162,722,85,Primary
1163,722,2939,Primary
1164,723,1876,Primary
1165,723,2817,Primary
1166,723,1925,Accomplice
1167,724,564,Primary
1168,724,792,Accomplice
1169,725,397,Primary
1170,725,2657,Primary
1171,725,2939,Primary
1172,726,2230,Primary
1173,727,1023,Primary
1174,728,2180,Primary
1175,729,2446,Primary
1176,730,1142,Primary
1177,731,1915,Primary
1178,731,877,Abettor
1179,731,1691,Abettor
1180,732,1115,Primary
1181,732,2233,Primary
1182,732,1977,Accomplice
1183,733,1674,Primary
1184,733,1176,Primary
1185,734,2600,Primary
1186,735,559,Primary
1187,736,1583,Primary
1188,737,998,Primary
1189,737,947,Primary
1190,738,271,Primary
1191,739,1776,Primary
1192,740,1597,Primary
1193,740,1579,Primary
1194,741,2483,Primary
1195,742,1056,Primary
1196,742,675,Conspirator
1197,742,1608,Abettor
1198,743,253,Primary
1199,743,1288,Primary
1200,744,34,Primary
1201,744,851,Primary
1202,745,1743,Primary
1203,745,2436,Accomplice
1204,745,2197,Accomplice
1205,746,1356,Primary
1206,746,1990,Primary
1207,747,1785,Primary
1208,748,2644,Primary
1209,749,1096,Primary
1210,749,1636,Abettor
1211,750,1662,Primary
1212,750,2875,Accomplice
1213,751,2926,Primary
1214,752,1750,Primary
1215,753,327,Primary
1216,754,1741,Primary
1217,754,2114,Accomplice
1218,754,1993,Accomplice
1219,755,926,Primary
1220,755,2646,Primary
1221,756,2669,Primary
1222,756,743,Primary
1223,757,2982,Primary
1224,757,1700,Primary
1225,757,2722,Abettor
1226,758,2184,Primary
1227,759,2790,Primary
1228,760,2024,Primary
1229,760,1131,Primary
1230,760,2195,Abettor
1231,761,2659,Primary
1232,762,2122,Primary
1233,763,2272,Primary
1234,764,804,Primary
1235,764,2166,Accomplice
1236,765,2659,Primary
1237,765,2002,Primary
1238,766,54,Primary
1239,766,2378,Primary
1240,767,2290,Primary
1241,767,2184,Primary
1242,768,2557,Primary
1243,768,1121,Primary
1244,769,1957,Primary
1245,769,328,Primary
